Participant.ID,List,quantifier,fruit,response
48,2,some,orange,N
48,2,all,apple,Y
49,1,all,banana,Y
49,1,some,orange,N
49,1,some,apple,I
49,1,some,banana,N
49,1,all,orange,Y
49,1,some,banana,I
49,1,some,apple,N
49,1,some,orange,I
49,1,all,apple,Y
50,2,all,banana,I
50,2,some,orange,I
50,2,some,apple,I
50,2,some,banana,I
50,2,all,orange,I
50,2,some,banana,I
50,2,some,apple,I
50,2,some,orange,I
50,2,all,apple,Y
51,1,all,banana,Y
51,1,some,orange,I
51,1,some,apple,I
51,1,some,banana,I
51,1,all,orange,Y
51,1,some,banana,I
51,1,some,apple,I
51,1,some,orange,I
51,1,all,apple,Y
52,2,all,banana,Y
52,2,some,orange,N
52,2,some,apple,N
52,2,some,banana,N
52,2,all,orange,Y
52,2,some,banana,N
52,2,some,apple,N
52,2,some,orange,Y
52,2,all,apple,Y
53,1,all,banana,Y
53,1,some,orange,N
53,1,some,apple,I
53,1,some,banana,Y
53,1,all,orange,Y
53,1,some,banana,I
53,1,some,apple,N
53,1,some,orange,I
53,1,all,apple,Y
54,2,all,banana,Y
54,2,some,orange,N
54,2,some,apple,I
54,2,some,banana,N
54,2,all,orange,Y
54,2,some,banana,N
54,2,some,apple,N
54,2,some,orange,Y
54,2,all,apple,Y
55,1,all,banana,Y
55,1,some,orange,N
55,1,some,apple,N
55,1,some,banana,N
55,1,all,orange,Y
55,1,some,banana,N
55,1,some,apple,N
55,1,some,orange,I
55,1,all,apple,Y
57,1,all,banana,Y
57,1,some,orange,N
57,1,some,apple,N
57,1,some,banana,N
57,1,all,orange,Y
57,1,some,banana,I
57,1,some,apple,N
57,1,some,orange,I
57,1,all,apple,Y
58,2,all,banana,Y
58,2,some,orange,N
58,2,some,apple,I
58,2,some,banana,N
58,2,all,orange,Y
58,2,some,banana,I
58,2,some,apple,N
58,2,some,orange,I
58,2,all,apple,Y
59,1,all,banana,Y
59,1,some,orange,N
59,1,some,apple,Y
59,1,some,banana,N
59,1,all,orange,Y
59,1,some,banana,Y
59,1,some,apple,N
59,1,some,orange,N
59,1,all,apple,Y
60,2,all,banana,Y
60,2,some,orange,N
60,2,some,apple,N
60,2,some,banana,N
60,2,all,orange,Y
60,2,some,banana,N
60,2,some,apple,I
60,2,some,orange,I
60,2,all,apple,Y
